Financial_year,Import_VAT,Home_VAT,Total_VAT
1989-90,"6098","13440","29538"
1990-91,"16481","14441","30922"
1991-92,"18725","16511","35236"
1992-93,"18335","18854","37189"
1993-94,"11146","28066","39212"
1994-95,"11747","29975","41722"
1995-96,"12133","30921","43054"
1996-97,"12782","33862","46644"
1997-98,"13265","37320","50585"
1998-99,"13387","38917","52304"
1999-00,"14740","41655","56395"
2000-01,"17001","41502","58503"
2001-02,"16194","44832","61026"
2002-03,"15523","47928","63451"
2003-04,"15908","53167","69075"
2004-05,"16696","56325","73021"
2005-06,"17970","54885","72855"
2006-07,"19046","58314","77360"
2007-08,"19311","61287","80598"
2008-09,"20154","58285","78439"
2009-10,"16596","53565","70161"
2010-11,"22908","60594","83502"
2011-12,"26029","72263","98292"
2012-13,"25432","75140","100572"
2013-14,"25194","79524","104718"
2014-15,"25392","85971","111363"
2015-16,"25741","89674","115415"
2016-17,"28040","91759","119799"
2017-18,"30263","95100","125363"
2018-19,"32770","99404","132174"
